style_key,template_id,template
mystery_gap,MG-001,"The thing nobody tells you about {{topic}}"
mystery_gap,MG-002,"I finally figured out why {{audience}} struggle with {{problem}}"
mystery_gap,MG-003,"This one small part of {{task}} matters more than you think"
mystery_gap,MG-004,"Most people skip this before they try {{goal}}"
mystery_gap,MG-005,"This looks like {{problem}}, but it is really {{real_problem}}"
mystery_gap,MG-006,"I changed one thing in {{routine}}, and it got weird"
mystery_gap,MG-007,"The first sign that {{problem}} is getting worse"
mystery_gap,MG-008,"I wish I knew this before paying for {{thing}}"
mystery_gap,MG-009,"The real reason {{problem}} keeps happening"
mystery_gap,MG-010,"What happens when you stop doing {{old_step}}"
authority_signal,AS-001,"I looked at {{number}} examples of {{topic}}, and one thing stood out"
authority_signal,AS-002,"A good {{role}} checks this before starting {{task}}"
authority_signal,AS-003,"The best {{audience}} do this before making {{decision}}"
authority_signal,AS-004,"Here is how smart {{audience}} avoid {{mistake}}"
authority_signal,AS-005,"Once you understand {{idea}}, {{topic}} gets simpler"
authority_signal,AS-006,"This is what separates new {{audience}} from better ones"
authority_signal,AS-007,"I kept seeing the same mistake in {{examples}}"
authority_signal,AS-008,"The smart move before {{action}} is this"
authority_signal,AS-009,"Here is a better way to think about {{problem}}"
authority_signal,AS-010,"Most advice about {{topic}} skips the simple part"
anti_advice,AA-001,"The common advice about {{topic}} is not helping {{audience}}"
anti_advice,AA-002,"You do not need more {{thing}}. You need {{better_thing}}"
anti_advice,AA-003,"Everyone says {{common_advice}}, but that is not the whole story"
anti_advice,AA-004,"Stop chasing {{wrong_goal}} if you want {{result}}"
anti_advice,AA-005,"{{audience}} are trying to fix the wrong problem"
anti_advice,AA-006,"The thing helping your {{goal}} might be slowing you down"
anti_advice,AA-007,"Fix {{big_problem}} before worrying about {{small_detail}}"
anti_advice,AA-008,"The easier way to do {{task}} might be better"
anti_advice,AA-009,"Most {{audience}} do not need this trendy {{thing}}"
anti_advice,AA-010,"Doing less of {{bad_habit}} might fix more than doing more"
inside_room,IR-001,"The quiet rule good {{audience}} follow with {{topic}}"
inside_room,IR-002,"What really happens before {{result}}"
inside_room,IR-003,"The part of {{topic}} beginners never hear about"
inside_room,IR-004,"Why {{thing}} feels harder than it should"
inside_room,IR-005,"What actually happens after you {{action}}"
inside_room,IR-006,"Why {{situation}} feels so confusing"
inside_room,IR-007,"People who know {{topic}} rarely say this part out loud"
inside_room,IR-008,"The checklist I use before {{task}}"
inside_room,IR-009,"The rule that saves you from {{bad_outcome}}"
inside_room,IR-010,"The secret is not {{obvious_thing}}. It is {{real_thing}}"
direct_diagnosis,DD-001,"{{audience}}: stop doing {{bad_habit}} before it becomes {{bad_outcome}}"
direct_diagnosis,DD-002,"If {{goal}} feels impossible, this might be why"
direct_diagnosis,DD-003,"You are not bad at {{topic}}. Your setup is messy"
direct_diagnosis,DD-004,"If you keep doing {{bad_habit}}, {{bad_result}} will keep happening"
direct_diagnosis,DD-005,"This is why your {{thing}} looks like everyone else's"
direct_diagnosis,DD-006,"You are fixing {{symptom}} instead of {{real_problem}}"
direct_diagnosis,DD-007,"If you are {{audience}}, this habit is costing you {{cost}}"
direct_diagnosis,DD-008,"Your {{routine}} has one thing slowing it down"
direct_diagnosis,DD-009,"You are making {{task}} harder than it needs to be"
direct_diagnosis,DD-010,"Your effort is fine. It is going to the wrong part of {{task}}"
before_after_arc,BA-001,"From {{before_state}} to {{after_state}} in {{timeframe}}"
before_after_arc,BA-002,"The small change that took me from {{bad_result}} to {{better_result}}"
before_after_arc,BA-003,"How {{audience}} can go from {{pain_point}} to {{desired_outcome}}"
before_after_arc,BA-004,"I swapped {{old_way}} for {{new_way}}, and {{result}} changed"
before_after_arc,BA-005,"How to turn messy {{thing}} into clean {{thing}}"
before_after_arc,BA-006,"How {{one_change}} turned {{problem}} into {{advantage}}"
before_after_arc,BA-007,"Before I fixed {{problem}}, {{bad_result}} kept happening"
before_after_arc,BA-008,"The {{timeframe}} reset that changed my {{thing}}"
before_after_arc,BA-009,"I stopped {{old_habit}} and finally got {{result}}"
before_after_arc,BA-010,"How to turn {{input}} into {{output}} without overthinking it"
cost_alert,CA-001,"This common {{habit}} is quietly hurting your {{result}}"
cost_alert,CA-002,"Do not start {{task}} until you check {{thing}}"
cost_alert,CA-003,"The {{task}} mistake that wastes {{time}}"
cost_alert,CA-004,"If you ignore {{problem}}, it gets harder to fix"
cost_alert,CA-005,"Your {{tool}} might be causing the problem"
cost_alert,CA-006,"This is the red flag that {{problem}} is getting expensive"
cost_alert,CA-007,"One bad guess about {{topic}} can ruin {{result}}"
cost_alert,CA-008,"Check this before spending money on {{thing}}"
cost_alert,CA-009,"The risky part of {{trend}} people skip"
cost_alert,CA-010,"This tiny mistake turns into a bigger {{problem}}"
deadline_pull,DP-001,"Do this before {{milestone}} makes it harder"
deadline_pull,DP-002,"You are early to {{opportunity}}, but that will not last"
deadline_pull,DP-003,"The window for {{advantage}} is closing"
deadline_pull,DP-004,"Check this before you choose {{decision}}"
deadline_pull,DP-005,"If you are planning {{task}}, save this now"
deadline_pull,DP-006,"Fix {{problem}} before {{moment}}"
deadline_pull,DP-007,"Most {{audience}} learn this too late"
deadline_pull,DP-008,"You will want this before {{moment}}"
deadline_pull,DP-009,"Your reminder to handle {{task}} before {{deadline}}"
deadline_pull,DP-010,"Learn {{skill}} now and {{task}} gets easier later"
receipt_stack,RS-001,"I tried {{method}} on {{examples}}, and the answer was clear"
receipt_stack,RS-002,"Here is what changed when I only fixed {{one_thing}}"
receipt_stack,RS-003,"Things changed when I stopped doing {{old_habit}}"
receipt_stack,RS-004,"I compared {{option_a}} and {{option_b}} so you do not have to"
receipt_stack,RS-005,"This is what {{result}} looked like after {{timeframe}}"
receipt_stack,RS-006,"I tracked {{thing}} every day, and saw the same pattern"
receipt_stack,RS-007,"Here is what happened when I used {{method}} instead of {{old_way}}"
receipt_stack,RS-008,"I used {{tool}} for {{timeframe}} and checked {{result}}"
receipt_stack,RS-009,"The proof showed up after I tried {{action}}"
receipt_stack,RS-010,"This tiny test made {{outcome}} easier"
future_cast,FC-001,"{{thing}} is about to change how {{audience}} do {{task}}"
future_cast,FC-002,"Soon, {{old_way}} will feel old"
future_cast,FC-003,"The next wave of {{topic}} will reward {{skill}}"
future_cast,FC-004,"{{audience}} who ignore {{trend}} will feel behind"
future_cast,FC-005,"{{topic}} is moving from {{old_way}} to {{new_way}}"
future_cast,FC-006,"Here is where {{topic}} is probably going next"
future_cast,FC-007,"People using {{new_way}} now will move faster later"
future_cast,FC-008,"{{tool}} will not replace {{audience}}. It will replace {{old_way}}"
future_cast,FC-009,"The next big edge in {{topic}} is not {{obvious_thing}}"
future_cast,FC-010,"What happens when {{trend}} becomes normal"
test_drive,TD-001,"I tested {{thing}} and found the part people leave out"
test_drive,TD-002,"I tried {{method}} for {{timeframe}}, and kept only this"
test_drive,TD-003,"I compared {{number}} ways to do {{task}}. One was better"
test_drive,TD-004,"I used {{tool}} on {{project}}, and this part helped"
test_drive,TD-005,"I pushed {{thing}} until it broke"
test_drive,TD-006,"I followed {{method}} exactly, and this is what failed"
test_drive,TD-007,"I rebuilt {{thing}} from scratch to see if it worked"
test_drive,TD-008,"I gave {{thing}} one honest week"
test_drive,TD-009,"I tried the fast way and slow way to do {{task}}"
test_drive,TD-010,"I ran {{input}} through {{option_a}} and {{option_b}}"
pattern_break,PB-001,"The weird way {{method}} got {{result}}"
pattern_break,PB-002,"This tiny {{action}} saved more time than {{old_way}}"
pattern_break,PB-003,"I got {{surprising_result}} from something way too simple"
pattern_break,PB-004,"The ugly version of {{thing}} did better"
pattern_break,PB-005,"This should not have worked, but it beat {{popular_choice}}"
pattern_break,PB-006,"I removed {{thing}}, and {{result}} got better"
